started_at,ended_at,start_x,start_y,end_x,end_y,bike_id
1184490,1186875,2867.906680146335,-2550.6486959767835,2867.906680146335,-2550.6486959767835,W24635
1269483,1275873,2867.906680146335,-2550.6486959767835,2867.906680146335,-2550.6486959767835,W24635
1330956,1332236,2867.906680146335,-2550.6486959767835,3610.147888427871,-199.14941374362635,W24635
1332312,1333263,3610.147888427871,-199.14941374362635,2867.906680146335,-2550.6486959767835,W24635
1358833,1360355,2867.906680146335,-2550.6486959767835,935.5683550562323,-2444.89579320685,W24635
1677703,1678247,935.5683550562323,-2444.89579320685,1578.918836795151,-370.5804350772885,W24635
1690990,1691360,1578.918836795151,-370.5804350772885,1271.019755402809,-1678.4655452337165,W24635
1711353,1711736,1271.019755402809,-1678.4655452337165,2625.1536130326635,-1776.9827230781227,W24635
1779745,1781272,2625.1536130326635,-1776.9827230781227,-584.2071226972812,-157.18220917050687,W24635
1783936,1786426,-584.2071226972812,-157.18220917050687,-584.2071226972812,-157.18220917050687,W24635
1790066,1791132,-584.2071226972812,-157.18220917050687,1835.2706095118488,-1359.8153513599148,W24635
1796471,1797196,1835.2706095118488,-1359.8153513599148,-117.15367456973772,-2177.897543422312,W24635
1797604,1798333,-117.15367456973772,-2177.897543422312,-117.15367456973772,-2177.897543422312,W24635
1837178,1837955,-117.15367456973772,-2177.897543422312,-1380.3033083701418,-858.2682951157151,W24635
1853710,1857173,-1380.3033083701418,-858.2682951157151,-1380.3033083701418,-858.2682951157151,W24635
1861657,1874552,-1380.3033083701418,-858.2682951157151,-1380.3033083701418,-858.2682951157151,W24635
2059531,2060148,-828.8681814864412,-38.85027691326964,-912.0125818422052,1947.857150184919,W24635
2139872,2140772,-912.0125818422052,1947.857150184919,1111.6181164467437,379.2633049876047,W24635
2226110,2226917,1111.6181164467437,379.2633049876047,-1386.3722255965383,1072.7797094714829,W24635
2229310,2229684,-1386.3722255965383,1072.7797094714829,-188.8673402319529,519.5250497148589,W24635
2241167,2242270,-188.8673402319529,519.5250497148589,-2811.4720009168905,-425.46062567272384,W24635
2242323,2243212,-2811.4720009168905,-425.46062567272384,-188.8673402319529,519.5250497148589,W24635
2281374,2282936,-188.8673402319529,519.5250497148589,-298.30049519174673,-188.1288480866431,W24635
2329750,2330349,-298.30049519174673,-188.1288480866431,-922.0093029382764,1354.416387375768,W24635
2375286,2375862,-922.0093029382764,1354.416387375768,-1333.1244526763924,2761.931863826379,W24635
2522974,2523529,-929.3914426548988,1038.6048240499654,572.5803208358176,131.6901936600965,W24635
2565300,2566771,572.5803208358176,131.6901936600965,572.5803208358176,131.6901936600965,W24635
2643965,2645849,572.5803208358176,131.6901936600965,-3697.8467852525214,668.4251368154823,W24635
2646153,2646404,-3697.8467852525214,668.4251368154823,-4001.84712299075,833.4441926753292,W24635
