started_at,ended_at,start_x,start_y,end_x,end_y,bike_id
110233,110696,-1881.6873246556,-2146.116013168249,-2808.2773936322506,-513.9591074636016,W20672
111100,111515,-2808.2773936322506,-513.9591074636016,-1367.232735634131,-238.8902414156101,W20672
142507,143158,-1367.232735634131,-238.8902414156101,-2287.4982534152964,-449.3941773512319,W20672
154029,154420,-2287.4982534152964,-449.3941773512319,-1574.8166351441266,-1019.791939240589,W20672
192193,192422,-1574.8166351441266,-1019.791939240589,-842.3816240987607,-683.1637518961281,W20672
193490,194151,-842.3816240987607,-683.1637518961281,-2606.931407629117,149.61252770917662,W20672
196153,196453,-2606.931407629117,149.61252770917662,-2169.584360579388,-380.3764934373816,W20672
207596,208167,-2169.584360579388,-380.3764934373816,-2605.1986538763904,423.4568864618599,W20672
234979,236182,-2605.1986538763904,423.4568864618599,-584.201315024888,157.18220917050687,W20672
294241,294370,-1881.6873246556,-2146.116013168249,-2194.7092899865465,-1670.339269546311,W20672
376283,376664,-1881.6873246556,-2146.116013168249,-1008.6393466202468,-2284.707975219652,W20672
377993,378966,-1008.6393466202468,-2284.707975219652,-2925.498184966575,-1006.3223589937804,W20672
426649,426862,-2925.498184966575,-1006.3223589937804,-3499.2995900004858,-986.6189234248992,W20672
478103,478388,-2355.0756497494986,-2716.8477315926184,-2194.7092899865465,-1670.339269546311,W20672
573962,574658,-2194.7092899865465,-1670.339269546311,-494.0981199113877,-2141.440621677288,W20672
726171,727496,-494.0981199113877,-2141.440621677288,-3499.2995900004858,-986.6189234248992,W20672
746499,747466,-3499.2995900004858,-986.6189234248992,-3061.4327168251834,-3019.634990051365,W20672
823194,824146,-4215.100165025086,-1013.5580839200984,-2853.3723100320794,891.6639486224678,W20672
824750,825382,-2853.3723100320794,891.6639486224678,-802.701563174357,996.414981787365,W20672
841008,841888,-802.701563174357,996.414981787365,-1315.9432245686708,-375.0331888763961,W20672
844125,844565,-1315.9432245686708,-375.0331888763961,-1386.4663022827554,-1072.7797094714829,W20672
845599,846010,-1386.4663022827554,-1072.7797094714829,98.48439579788452,-1232.2751862723885,W20672
909302,910443,-1369.1387647616386,-1373.3405910290935,-1380.2283887746603,858.2682951157151,W20672
910504,911244,-1380.2283887746603,858.2682951157151,236.34422431908067,1033.5954760247828,W20672
1172903,1173698,-3698.003126530832,-668.4251368154823,-2417.454784827981,-1540.3188585612754,W20672
1444132,1444664,-1687.835498630181,-3322.088291974309,-1894.076513983168,-1322.3565600090635,W20672
1602338,1602971,-1894.076513983168,-1322.3565600090635,-1450.058364987162,447.3904381419498,W20672
1710984,1712225,-1450.058364987162,447.3904381419498,1260.4016918558598,-461.861887993795,W20672
1791123,1792266,1260.4016918558598,-461.861887993795,949.1557991213356,-1050.348962199343,W20672
1792702,1794184,949.1557991213356,-1050.348962199343,1244.7008281127914,-1024.896740019206,W20672
1794350,1795428,1244.7008281127914,-1024.896740019206,903.1945058439112,2156.246028065728,W20672
1861211,1866187,903.1945058439112,2156.246028065728,903.1945058439112,2156.246028065728,W20672
1867802,1869875,903.1945058439112,2156.246028065728,-1352.1577779900822,-2402.817269788199,W20672
2475970,2476567,-500.162758044702,-1054.6347377329218,-2792.422696799228,-1461.727753976022,W20672
