started_at,ended_at,start_x,start_y,end_x,end_y,bike_id
63413,66790,-2348.210150806419,-441.1565828206682,223.52812242238716,-443.9395539462969,W20537
113959,114193,-1881.431886693912,2146.116013168249,-2194.4774136437,1670.339269546311,W20537
134492,134683,-2194.4774136437,1670.339269546311,-2089.6479554302955,2393.132530270474,W20537
1191806,1192623,-3697.8467852525214,668.4251368154823,-2089.6479554302955,2393.132530270474,W20537
1422483,1423275,-2089.6479554302955,2393.132530270474,-424.0757252336529,713.6651154317209,W20537
1613889,1615927,1786.245177219664,2718.294876578199,1786.245177219664,2718.294876578199,W20537
1707757,1710737,1786.245177219664,2718.294876578199,1786.245177219664,2718.294876578199,W20537
1772537,1775017,1786.245177219664,2718.294876578199,-1051.840396051375,-834.0564463237743,W20537
1776848,1777654,-1051.840396051375,-834.0564463237743,-912.0125818422052,1947.857150184919,W20537
1778111,1778504,-912.0125818422052,1947.857150184919,-1557.3691014905978,2536.900818615751,W20537
1859952,1862932,-4001.84712299075,833.4441926753292,-4001.84712299075,833.4441926753292,W20537
2039273,2039919,-4001.84712299075,833.4441926753292,-2606.956075627768,-149.61252770917662,W20537
2217757,2218494,-2606.956075627768,-149.61252770917662,-424.0757252336529,713.6651154317209,W20537
2563285,2565150,-2354.6709182688887,2716.8477315926184,380.2384601627839,455.8506703619942,W20537
