started_at,ended_at,start_x,start_y,end_x,end_y,bike_id
1603810,1605183,-3821.501991331301,729.9176668049492,-2172.0118915123644,2509.7946798534413,W24061
1613280,1613692,-2172.0118915123644,2509.7946798534413,-1351.952265455199,2402.817269788199,W24061
1614733,1615205,-1351.952265455199,2402.817269788199,-2172.0118915123644,2509.7946798534413,W24061
1666844,1667097,-2172.0118915123644,2509.7946798534413,-2906.0520040511774,3041.230845985579,W24061
1682309,1684054,-2906.0520040511774,3041.230845985579,-2853.533219035006,-891.6639486224678,W24061
1772993,1774052,-2853.533219035006,-891.6639486224678,-1189.9480965767848,-1984.8150067328563,W24061
1780904,1781812,-1189.9480965767848,-1984.8150067328563,-1574.715056457654,1019.791939240589,W24061
1859589,1860174,-1574.715056457654,1019.791939240589,-794.7691416991337,2685.45581729673,W24061
1863471,1864178,-794.7691416991337,2685.45581729673,-1553.745244797235,1509.7618356025214,W24061
2365125,2365427,-1386.3722255965383,1072.7797094714829,-570.845296965312,382.6028703385173,W24061
2391937,2393320,-570.845296965312,382.6028703385173,-570.845296965312,382.6028703385173,W24061
2465339,2465750,-570.845296965312,382.6028703385173,-1051.840396051375,-834.0564463237743,W24061
2467983,2468436,-1051.840396051375,-834.0564463237743,-570.845296965312,382.6028703385173,W24061
