started_at,ended_at,start_x,start_y,end_x,end_y,bike_id
25931,26536,2167.7581941826543,1152.7066401975758,935.4237256342964,2444.89579320685,W22308
372601,372820,-1386.4663022827554,-1072.7797094714829,-1890.8709195411147,-645.4266634342174,W22308
394330,395259,-1890.8709195411147,-645.4266634342174,422.87516574033486,-94.06442404292608,W22308
494118,495545,422.87516574033486,-94.06442404292608,-1008.6393466202468,-2284.707975219652,W22308
647239,647729,-1352.1577779900822,-2402.817269788199,-2104.4328194970344,-3097.446862721063,W22308
649158,649367,-2104.4328194970344,-3097.446862721063,-2355.0756497494986,-2716.8477315926184,W22308
659632,662699,-2605.1986538763904,423.4568864618599,-1017.5523537364988,1111.63304402804,W22308
714032,714219,-1687.835498630181,-3322.088291974309,-2259.8608310676686,-2967.983045961312,W22308
737177,738009,-3499.2995900004858,-986.6189234248992,-1557.6190541540952,-2536.900818615751,W22308
738675,738984,-1557.6190541540952,-2536.900818615751,-2450.377106119949,-1407.2928387603392,W22308
739643,739945,-2450.377106119949,-1407.2928387603392,-1557.6190541540952,-2536.900818615751,W22308
747683,747885,-1557.6190541540952,-2536.900818615751,-1553.8936335864703,-1509.7618356025214,W22308
749958,751124,-1553.8936335864703,-1509.7618356025214,-824.1944534827929,1329.162363396306,W22308
754697,759685,-824.1944534827929,1329.162363396306,-824.1944534827929,1329.162363396306,W22308
760001,760503,-824.1944534827929,1329.162363396306,903.1945058439112,2156.246028065728,W22308
760591,761867,903.1945058439112,2156.246028065728,-493.3049536406412,-113.54792354855924,W22308
790469,791001,-493.3049536406412,-113.54792354855924,-1917.5553273249889,-723.2385361039151,W22308
797147,797995,-1917.5553273249889,-723.2385361039151,-1360.474996000465,-3399.343570419514,W22308
805667,806182,-1360.474996000465,-3399.343570419514,-1894.076513983168,-1322.3565600090635,W22308
816898,817435,-1894.076513983168,-1322.3565600090635,-1367.232735634131,-238.8902414156101,W22308
838870,839830,-1367.232735634131,-238.8902414156101,-1375.6365913319034,-3230.58420136674,W22308
845381,845850,-1375.6365913319034,-3230.58420136674,-2172.35676658326,-2509.7946798534413,W22308
895074,895635,-2172.35676658326,-2509.7946798534413,-2604.93874081422,-587.31822633261,W22308
898436,898674,-2604.93874081422,-587.31822633261,-2808.2773936322506,-513.9591074636016,W22308
901902,902566,-2808.2773936322506,-513.9591074636016,-1894.076513983168,-1322.3565600090635,W22308
905765,906152,-1894.076513983168,-1322.3565600090635,-929.4525001462196,-1038.6048240499654,W22308
908624,909021,-929.4525001462196,-1038.6048240499654,-1713.783486068777,-1824.4045510561773,W22308
911576,911939,-1713.783486068777,-1824.4045510561773,-1620.3880588270645,-3013.067178195072,W22308
1093356,1096351,-3698.003126530832,-668.4251368154823,-2848.997106809029,636.9107717910118,W22308
1096635,1097240,-2848.997106809029,636.9107717910118,-3698.003126530832,-668.4251368154823,W22308
1123229,1124561,-3698.003126530832,-668.4251368154823,1567.451699871145,-742.3616437789719,W22308
1124629,1125011,1567.451699871145,-742.3616437789719,2447.250630792388,-463.5171925950309,W22308
1675910,1678064,1731.1908863231297,162.91512968887474,-1051.7849150501052,834.0564463237743,W22308
1678089,1685293,-1051.7849150501052,834.0564463237743,1731.1908863231297,162.91512968887474,W22308
1856068,1856893,1731.1908863231297,162.91512968887474,2285.152260892992,1533.30577132602,W22308
2045615,2046048,2285.152260892992,1533.30577132602,2438.154417210546,645.8719388147609,W22308
2107572,2108018,2438.154417210546,645.8719388147609,422.87516574033486,-94.06442404292608,W22308
2146802,2147461,422.87516574033486,-94.06442404292608,2438.154417210546,645.8719388147609,W22308
2224317,2224630,2438.154417210546,645.8719388147609,2175.815499130866,-414.1061034791464,W22308
2385310,2385811,2175.815499130866,-414.1061034791464,1000.4019913418696,-1637.3888914201018,W22308
2385925,2386128,1000.4019913418696,-1637.3888914201018,753.4845816557994,-2085.781199166297,W22308
2406167,2406966,753.4845816557994,-2085.781199166297,2175.815499130866,-414.1061034791464,W22308
2476095,2477414,2175.815499130866,-414.1061034791464,-2417.454784827981,-1540.3188585612754,W22308
2565460,2566038,-2417.454784827981,-1540.3188585612754,-494.0981199113877,-2141.440621677288,W22308
