started_at,ended_at,start_x,start_y,end_x,end_y,bike_id
67299,67418,-1687.835498630181,3322.088291974309,-2104.4328194970344,3097.446862721063,W20369
115116,115897,-2104.4328194970344,3097.446862721063,-2451.156845307692,814.965264401756,W20369
158695,160240,-2451.156845307692,814.965264401756,1399.021992029718,-702.1992743957761,W20369
200094,200271,1399.021992029718,-702.1992743957761,1705.97931922735,-1036.489765995152,W20369
306596,306899,1705.97931922735,-1036.489765995152,2049.324475222406,-9.239464137182011,W20369
324260,325658,2049.324475222406,-9.239464137182011,-117.13754112524298,-2177.897543422312,W20369
335367,336025,-117.13754112524298,-2177.897543422312,1221.3280947444182,-2365.859413241053,W20369
414729,415034,1221.3280947444182,-2365.859413241053,1270.88485205592,-1678.4655452337165,W20369
761961,762482,1270.88485205592,-1678.4655452337165,1270.88485205592,-1678.4655452337165,W20369
906622,907007,1270.88485205592,-1678.4655452337165,1578.881831505927,-370.5804350772885,W20369
908637,909836,1578.881831505927,-370.5804350772885,-2311.9300813208715,239.22419795062223,W20369
926047,926262,-2311.9300813208715,239.22419795062223,-1890.8709195411147,645.4266634342174,W20369
928999,929556,-1890.8709195411147,645.4266634342174,657.2301107228259,382.9368268735295,W20369
930325,931593,657.2301107228259,382.9368268735295,3430.5891287699023,-741.7174643782791,W20369
933658,934180,3430.5891287699023,-741.7174643782791,2285.152260892992,-1533.30577132602,W20369
1857267,1858210,2285.152260892992,-1533.30577132602,-824.4476227646819,-360.1164636447984,W20369
1865812,1868780,-824.4476227646819,-360.1164636447984,-824.4476227646819,-360.1164636447984,W20369
