started_at,ended_at,start_x,start_y,end_x,end_y,bike_id
119649,120969,-101.54275735562236,1825.183782970942,-1923.6199654583029,1762.9565486044485,W01114
121441,121597,-1923.6199654583029,1762.9565486044485,-2194.7092899865465,1670.339269546311,W01114
131763,133023,-2194.7092899865465,1670.339269546311,-246.9207971631472,106.75477237497007,W01114
238479,239100,-246.9207971631472,106.75477237497007,1157.64939435139,-143.71262892290716,W01114
329407,329918,1157.64939435139,-143.71262892290716,2537.267931834781,831.4404534644652,W01114
374919,375346,2537.267931834781,831.4404534644652,1244.7008281127914,1024.896740019206,W01114
408963,409819,1244.7008281127914,1024.896740019206,1786.5523687045445,2718.294876578199,W01114
410197,410612,1786.5523687045445,2718.294876578199,3255.23444904906,3432.182629700983,W01114
844041,845896,3255.23444904906,3432.182629700983,3255.23444904906,3432.182629700983,W01114
977546,977956,3255.23444904906,3432.182629700983,1786.5523687045445,2718.294876578199,W01114
978778,980409,1786.5523687045445,2718.294876578199,1108.6991008528505,-2222.2581031636773,W01114
1095624,1096629,-494.0981199113877,2141.440621677288,1244.7008281127914,1024.896740019206,W01114
1111641,1112478,1244.7008281127914,1024.896740019206,2438.154417210546,-645.8719388147609,W01114
1176998,1177856,2438.154417210546,-645.8719388147609,1835.1127926085967,-1359.8153513599148,W01114
1178678,1180388,1835.1127926085967,-1359.8153513599148,3430.5891287699023,-741.7174643782791,W01114
1184014,1184532,3430.5891287699023,-741.7174643782791,2438.154417210546,-645.8719388147609,W01114
1259034,1259295,2438.154417210546,-645.8719388147609,1835.1127926085967,-1359.8153513599148,W01114
1322334,1322711,1835.1127926085967,-1359.8153513599148,1365.4932069247875,-2172.053304059203,W01114
1600625,1600940,1365.4932069247875,-2172.053304059203,1365.4932069247875,-2172.053304059203,W01114
1622509,1622605,1365.4932069247875,-2172.053304059203,1108.6991008528505,-2222.2581031636773,W01114
1694243,1695664,933.0718976437946,-1937.9287301948511,-1450.058364987162,-447.3904381419498,W01114
1709794,1718695,-1450.058364987162,-447.3904381419498,-1553.8936335864703,1509.7618356025214,W01114
1767961,1768224,-1553.8936335864703,1509.7618356025214,-929.4525001462196,1038.6048240499654,W01114
1773798,1774010,-929.4525001462196,1038.6048240499654,-1369.1387647616386,1373.3405910290935,W01114
1781196,1787284,-1369.1387647616386,1373.3405910290935,-1812.1172615052687,-1830.5270875335093,W01114
2561979,2572910,-1475.703120519892,638.6362138876518,-1462.7883025379629,22.472351936458256,W01114
2645979,2655439,-1462.7883025379629,22.472351936458256,-1462.7883025379629,22.472351936458256,W01114
