started_at,ended_at,start_x,start_y,end_x,end_y,bike_id
154,437,-2248.5703681191844,832.4674209813991,-2417.219257666417,1540.3188585612754,W21703
42904,43820,-2417.219257666417,1540.3188585612754,-570.845296965312,382.6028703385173,W21703
114884,116416,666.9437976964771,1810.1557388930216,-2606.956075627768,-149.61252770917662,W21703
147300,148146,-2606.956075627768,-149.61252770917662,-104.30822423996608,-1101.0580053229169,W21703
150069,150373,-104.30822423996608,-1101.0580053229169,33.87216753763598,-102.3020185750716,W21703
203785,204063,33.87216753763598,-102.3020185750716,236.3596737786456,-1033.5954760247828,W21703
318714,319032,236.3596737786456,-1033.5954760247828,933.1862516873412,-1937.9287301948511,W21703
373316,373656,933.1862516873412,-1937.9287301948511,236.3596737786456,-1033.5954760247828,W21703
492791,493315,-2259.436558225718,2967.9830459613117,-1351.952265455199,2402.817269788199,W21703
513468,514740,-1351.952265455199,2402.817269788199,1247.2477587830729,3103.680718042345,W21703
825389,827966,-2849.1118684293083,-636.9107717910118,-2605.6813026458703,-1351.7447350956706,W21703
830410,830880,-2605.6813026458703,-1351.7447350956706,-1812.32704114666,-1830.5270875335093,W21703
833351,834795,-1812.32704114666,-1830.5270875335093,-824.2637352862973,-1329.162363396306,W21703
927844,928383,-824.2637352862973,-1329.162363396306,-828.8681814864412,-38.85027691326964,W21703
985927,987092,-1620.0792206913457,3013.067178195072,-1450.099395056315,-447.3904381419498,W21703
1013525,1014684,-1450.099395056315,-447.3904381419498,-2849.1118684293083,-636.9107717910118,W21703
1088114,1089296,-2849.1118684293083,-636.9107717910118,-824.4664002727116,-360.1164636447984,W21703
1110245,1112059,-824.4664002727116,-360.1164636447984,-2849.1118684293083,-636.9107717910118,W21703
1162153,1163126,-2849.1118684293083,-636.9107717910118,-2808.1861045329406,513.9591074636016,W21703
1185234,1185391,-2808.1861045329406,513.9591074636016,-2803.1298600936816,296.3567677708471,W21703
1347027,1348635,-2803.1298600936816,296.3567677708471,-2605.6813026458703,-1351.7447350956706,W21703
1511734,1515502,-2605.6813026458703,-1351.7447350956706,-2605.6813026458703,-1351.7447350956706,W21703
1532831,1533458,-2605.6813026458703,-1351.7447350956706,-1812.32704114666,-1830.5270875335093,W21703
