started_at,ended_at,start_x,start_y,end_x,end_y,bike_id
51220,52139,-1386.4663022827554,1072.7797094714829,-2195.1424784234973,1823.9592756756333,W20164
52165,52604,-2195.1424784234973,1823.9592756756333,-2434.7823223503287,2130.308737174774,W20164
53979,54264,-2434.7823223503287,2130.308737174774,-2434.7823223503287,2130.308737174774,W20164
66333,66791,-2434.7823223503287,2130.308737174774,-3204.558176754409,842.0157437416958,W20164
70057,70393,-3204.558176754409,842.0157437416958,-2469.4373973937936,4.1187972648863145,W20164
132768,134024,-2469.4373973937936,4.1187972648863145,-65.24156624682065,-642.142757506466,W20164
134827,135799,-65.24156624682065,-642.142757506466,-1450.058364987162,-447.3904381419498,W20164
149464,150698,-1450.058364987162,-447.3904381419498,-814.6575640637428,2330.682658213708,W20164
204779,205398,-814.6575640637428,2330.682658213708,-1154.4505748659533,447.5017569858993,W20164
290590,291357,-1352.1577779900822,2402.817269788199,380.2494234372797,455.8506703619942,W20164
404094,404502,380.2494234372797,455.8506703619942,-929.4525001462196,1038.6048240499654,W20164
405360,405586,-929.4525001462196,1038.6048240499654,-1553.8936335864703,1509.7618356025214,W20164
464550,465600,-1687.835498630181,3322.088291974309,-1462.7883025379629,22.472351936458256,W20164
483641,484339,-1462.7883025379629,22.472351936458256,-1017.5523537364988,-1111.63304402804,W20164
485487,486343,-1017.5523537364988,-1111.63304402804,-2605.458566939792,-1351.7447350956706,W20164
486419,487609,-2605.458566939792,-1351.7447350956706,-1051.7849150501052,-834.0564463237743,W20164
496990,497821,-1051.7849150501052,-834.0564463237743,-1553.8936335864703,1509.7618356025214,W20164
509517,509908,-1553.8936335864703,1509.7618356025214,-2434.7823223503287,2130.308737174774,W20164
558088,558644,-2434.7823223503287,2130.308737174774,-4215.100165025086,1013.5580839200984,W20164
562178,562888,-4215.100165025086,1013.5580839200984,-2434.7823223503287,2130.308737174774,W20164
586287,586633,-1553.8936335864703,1509.7618356025214,-2194.7092899865465,1670.339269546311,W20164
616061,616465,-2194.7092899865465,1670.339269546311,-543.4816018481092,1377.793344829783,W20164
646490,647561,-543.4816018481092,1377.793344829783,1940.4209018972315,982.611445003962,W20164
1979881,1980133,1940.4209018972315,982.611445003962,949.1557991213356,1050.348962199343,W20164
2104195,2104450,949.1557991213356,1050.348962199343,1260.4016918558598,461.861887993795,W20164
2367147,2368405,1774.0765416883553,-450.0620904220471,-494.0981199113877,2141.440621677288,W20164
2387991,2388268,-494.0981199113877,2141.440621677288,-543.4816018481092,1377.793344829783,W20164
2388470,2388601,-543.4816018481092,1377.793344829783,-500.162758044702,1054.6347377329218,W20164
