started_at,ended_at,start_x,start_y,end_x,end_y,bike_id
293745,295585,1567.451699871145,-742.3616437789719,-2646.698106240912,-1031.0908020110053,W22243
408743,410388,-2853.3723100320794,891.6639486224678,-1812.1172615052687,1830.5270875335093,W22243
412285,413325,-1812.1172615052687,1830.5270875335093,-1450.058364987162,447.3904381419498,W22243
491719,492987,-1450.058364987162,447.3904381419498,-493.3049536406412,-113.54792354855924,W22243
664252,664647,753.4845816557994,-2085.781199166297,-491.914710978856,-1997.1891388458928,W22243
725166,725548,-491.914710978856,-1997.1891388458928,-1386.4663022827554,-1072.7797094714829,W22243
725846,726217,-1386.4663022827554,-1072.7797094714829,-2328.217966590844,-661.3452582716426,W22243
752287,752696,-2328.217966590844,-661.3452582716426,-2792.422696799228,-1461.727753976022,W22243
853023,853167,-2792.422696799228,-1461.727753976022,-3034.3151206031275,-1150.702900985921,W22243
