started_at,ended_at,start_x,start_y,end_x,end_y,bike_id
35802,36131,1845.807450034228,-698.5257525098514,1572.4295790921033,412.8815961838383,W20078
40306,40944,1572.4295790921033,412.8815961838383,1835.2706095118488,-1359.8153513599148,W20078
44804,45855,1835.2706095118488,-1359.8153513599148,1244.6201406197797,1024.896740019206,W20078
115622,117086,1244.6201406197797,1024.896740019206,-2450.1589905827414,1407.2928387603392,W20078
117698,118095,-2450.1589905827414,1407.2928387603392,-3262.531070247399,360.3391013342791,W20078
119972,120367,-3262.531070247399,360.3391013342791,-3499.0812210478525,986.6189234248992,W20078
2385162,2385579,-1351.952265455199,2402.817269788199,-1386.3722255965383,1072.7797094714829,W20078
2390044,2390716,-1386.3722255965383,1072.7797094714829,-1386.3722255965383,1072.7797094714829,W20078
2391227,2391845,-1386.3722255965383,1072.7797094714829,-3499.0812210478525,986.6189234248992,W20078
2470111,2471148,-3499.0812210478525,986.6189234248992,-3060.847950466069,3019.634990051365,W20078
2553854,2554630,-3060.847950466069,3019.634990051365,-1351.952265455199,2402.817269788199,W20078
2656443,2657710,-424.0757252336529,713.6651154317209,357.95233295209937,1378.1273013647951,W20078
