started_at,ended_at,start_x,start_y,end_x,end_y,bike_id
140804,141508,-584.2071226972812,-157.18220917050687,949.0927421968316,1050.348962199343,78517
141572,142171,949.0927421968316,1050.348962199343,1259.9606745071096,-989.0679380163066,78517
144315,148277,1259.9606745071096,-989.0679380163066,-1380.3033083701418,-858.2682951157151,78517
395459,396923,-1380.3033083701418,-858.2682951157151,912.5376302209072,-1263.1349344592616,78517
407461,408124,912.5376302209072,-1263.1349344592616,-454.372404106747,-1426.328361259987,78517
408198,408820,-454.372404106747,-1426.328361259987,1002.1298273174614,77.58923497942598,78517
408986,409372,1002.1298273174614,77.58923497942598,1572.4295790921033,412.8815961838383,78517
410311,410639,1572.4295790921033,412.8815961838383,380.2384601627839,455.8506703619942,78517
411566,411956,380.2384601627839,455.8506703619942,1572.4295790921033,412.8815961838383,78517
460353,460716,1572.4295790921033,412.8815961838383,657.2141925881731,382.9368268735295,78517
462812,463705,657.2141925881731,382.9368268735295,45.64780756438548,2377.6592108128007,78517
464106,465065,45.64780756438548,2377.6592108128007,-1051.840396051375,-834.0564463237743,78517
487459,489257,-2849.1118684293083,-636.9107717910118,-298.30049519174673,-188.1288480866431,78517
489517,489818,-298.30049519174673,-188.1288480866431,-188.8673402319529,519.5250497148589,78517
489853,490152,-188.8673402319529,519.5250497148589,-584.2071226972812,-157.18220917050687,78517
512633,513561,-584.2071226972812,-157.18220917050687,933.1862516873412,-1937.9287301948511,78517
561559,562858,933.1862516873412,-1937.9287301948511,236.3596737786456,-1033.5954760247828,78517
574890,575321,236.3596737786456,-1033.5954760247828,-65.24421585664805,-642.142757506466,78517
577064,578863,-65.24421585664805,-642.142757506466,2842.538526966029,2153.0177815595557,78517
602550,603772,2842.538526966029,2153.0177815595557,-1320.292999174232,823.2028589331105,78517
652326,652738,-1320.292999174232,823.2028589331105,-985.2325967772824,233.88089338963675,78517
658075,658419,-985.2325967772824,233.88089338963675,-219.1862779950825,754.4078127095321,78517
662024,662586,-219.1862779950825,754.4078127095321,364.51883299847503,2132.201157540106,78517
663825,664419,364.51883299847503,2132.201157540106,-543.4342390331508,1377.793344829783,78517
665679,666176,-543.4342390331508,1377.793344829783,45.64780756438548,2377.6592108128007,78517
669599,672898,45.64780756438548,2377.6592108128007,-2089.6479554302955,2393.132530270474,78517
717855,718457,-2089.6479554302955,2393.132530270474,-1555.445981478385,542.4818752125246,78517
725820,725986,-1555.445981478385,542.4818752125246,-1386.3722255965383,1072.7797094714829,78517
735070,737456,-1386.3722255965383,1072.7797094714829,1399.084123210781,-702.1992743957761,78517
749930,750636,1399.084123210781,-702.1992743957761,-1051.840396051375,-834.0564463237743,78517
1772697,1778168,-1380.3033083701418,-858.2682951157151,-1051.840396051375,-834.0564463237743,78517
1870231,1871889,-1051.840396051375,-834.0564463237743,1399.084123210781,-702.1992743957761,78517
1871907,1872417,1399.084123210781,-702.1992743957761,2852.98200490415,-995.5244310270688,78517
1875560,1877324,2852.98200490415,-995.5244310270688,2852.98200490415,-995.5244310270688,78517
2011293,2012181,2852.98200490415,-995.5244310270688,2625.1536130326635,-1776.9827230781227,78517
2033229,2033498,2625.1536130326635,-1776.9827230781227,1835.2706095118488,-1359.8153513599148,78517
2034619,2035789,1835.2706095118488,-1359.8153513599148,-2170.059593926037,-306.3494614999309,78517
2036108,2036757,-2170.059593926037,-306.3494614999309,-1369.0198339983065,1373.3405910290935,78517
2301294,2301534,-1369.0198339983065,1373.3405910290935,-912.0125818422052,1947.857150184919,78517
2307636,2308232,-912.0125818422052,1947.857150184919,949.0927421968316,1050.348962199343,78517
2475671,2480614,-570.845296965312,382.6028703385173,-570.845296965312,382.6028703385173,78517
2571325,2572178,-570.845296965312,382.6028703385173,-1351.952265455199,2402.817269788199,78517
2573429,2574033,-1351.952265455199,2402.817269788199,-570.845296965312,382.6028703385173,78517
2575220,2575683,-570.845296965312,382.6028703385173,1260.3648729942292,461.861887993795,78517
