started_at,ended_at,start_x,start_y,end_x,end_y,bike_id
846487,846560,-6255.215123105512,-1154.9330170971298,-6255.215123105512,-1154.9330170971298,W22189
847747,848267,-6255.215123105512,-1154.9330170971298,-5885.181114058505,-1892.420365364991,W22189
854288,854671,-5885.181114058505,-1892.420365364991,-5632.583312024215,-3527.694198729489,W22189
899841,900756,-5632.583312024215,-3527.694198729489,-4157.940962258967,-439.7094378350882,W22189
1024655,1024804,-4157.940962258967,-439.7094378350882,-4169.189148603291,-55.102828285707005,W22189
1868938,1869833,-6955.684337452492,-1672.2316899124346,-4636.804123772981,-486.6859904333901,W22189
1873617,1874418,-4636.804123772981,-486.6859904333901,-6955.684337452492,-1672.2316899124346,W22189
2226349,2227205,-6955.684337452492,-1672.2316899124346,-5032.064838614522,-809.2880033057584,W22189
2272367,2273599,-5032.064838614522,-809.2880033057584,-2256.0341078902416,341.74885421596565,W22189
2304236,2304489,-2256.0341078902416,341.74885421596565,-2373.1758978806724,834.1121057461444,W22189
2572541,2573163,-2373.1758978806724,834.1121057461444,-1537.569412718039,2220.922277022837,W22189
