started_at,ended_at,start_x,start_y,end_x,end_y,bike_id
153033,153953,-2311.9300813208715,239.22419795062223,-543.4816018481092,1377.793344829783,W00705
201839,202571,-543.4816018481092,1377.793344829783,-2190.3714482407813,980.0441292680304,W00705
217478,217847,-1557.6190541540952,2536.900818615751,-2417.454784827981,1540.3188585612754,W00705
220098,220518,-2417.454784827981,1540.3188585612754,-1553.8936335864703,1509.7618356025214,W00705
224452,224729,-1553.8936335864703,1509.7618356025214,-1881.6873246556,2146.116013168249,W00705
226011,226278,-1881.6873246556,2146.116013168249,-1553.8936335864703,1509.7618356025214,W00705
226870,227596,-1553.8936335864703,1509.7618356025214,-491.914710978856,1997.1891388458932,W00705
303035,303870,-491.914710978856,1997.1891388458932,-1154.4505748659533,447.5017569858993,W00705
306495,306799,-1154.4505748659533,447.5017569858993,-922.0882966995912,1354.416387375768,W00705
308114,308483,-922.0882966995912,1354.416387375768,-1154.4505748659533,447.5017569858993,W00705
315601,316377,-1154.4505748659533,447.5017569858993,-1352.1577779900822,2402.817269788199,W00705
319442,319866,-1352.1577779900822,2402.817269788199,-1894.0765139831676,1322.3565600090635,W00705
320747,320945,-1894.0765139831676,1322.3565600090635,-2194.7092899865465,1670.339269546311,W00705
322958,323335,-2194.7092899865465,1670.339269546311,-3499.2995900004858,986.6189234248992,W00705
330353,330826,-3499.2995900004858,986.6189234248992,-1320.3617466378792,823.2028589331105,W00705
333574,334020,-1320.3617466378792,823.2028589331105,-188.8735464652516,519.5250497148589,W00705
335873,336916,-188.8735464652516,519.5250497148589,-1894.0765139831676,1322.3565600090635,W00705
377143,377328,-1894.0765139831676,1322.3565600090635,-1890.8709195411147,645.4266634342174,W00705
464493,465264,-2355.0756497494986,2716.8477315926184,-1154.4505748659533,447.5017569858993,W00705
723178,723811,-101.54275735562236,1825.183782970942,-1154.4505748659533,447.5017569858993,W00705
824274,824643,-2434.7823223503287,2130.308737174774,-794.9041712895468,2685.45581729673,W00705
831938,832044,-794.9041712895468,2685.45581729673,-814.6575640637428,2330.682658213708,W00705
835862,842975,-814.6575640637428,2330.682658213708,-1008.6393466202468,2284.707975219652,W00705
898489,899172,-1008.6393466202468,2284.707975219652,422.87516574033486,94.06442404292608,W00705
982205,983156,-2355.0756497494986,2716.8477315926184,-2287.4982534152964,449.3941773512319,W00705
1017770,1018608,-2287.4982534152964,449.3941773512319,-1008.6393466202468,2284.707975219652,W00705
2011425,2012276,-1051.7849150501052,-834.0564463237743,223.5218465521,-443.9395539462969,W00705
2216225,2217545,223.5218465521,-443.9395539462969,-1553.8936335864703,1509.7618356025214,W00705
