started_at,ended_at,start_x,start_y,end_x,end_y,bike_id
119174,119548,-491.914710978856,1997.1891388458928,-1386.4663022827554,1072.7797094714829,W00820
124558,125055,-1386.4663022827554,1072.7797094714829,-543.4816018481092,1377.793344829783,W00820
125877,126705,-543.4816018481092,1377.793344829783,1018.076079613778,2436.9921552089254,W00820
128365,129271,1018.076079613778,2436.9921552089254,-1553.8936335864703,1509.7618356025214,W00820
159218,159558,-1553.8936335864703,1509.7618356025214,-1557.6190541540952,2536.900818615751,W00820
194118,194333,-1557.6190541540952,2536.900818615751,-912.1249626238716,1947.857150184919,W00820
206234,206805,-912.1249626238716,1947.857150184919,-824.4476227646819,-360.1164636447984,W00820
654472,655706,-1352.1577779900822,2402.817269788199,-1555.499352562064,542.4818752125246,W00820
671994,673225,-1620.3880588270645,3013.067178195072,1244.7008281127914,1024.896740019206,W00820
721355,722632,1000.4019913418696,1637.3888914201018,-3034.3151206031275,1150.702900985921,W00820
737235,737634,-3034.3151206031275,1150.702900985921,-1881.6873246556,2146.116013168249,W00820
741039,741308,-1881.6873246556,2146.116013168249,-2792.422696799228,1461.727753976022,W00820
744898,745619,-2792.422696799228,1461.727753976022,-2996.5410888062315,611.3630968574403,W00820
750296,750682,-2996.5410888062315,611.3630968574403,-3698.003126530832,668.4251368154823,W00820
928984,930411,-1367.232735634131,238.8902414156101,-2906.611169067512,3041.230845985579,W00820
1017593,1018051,-2287.4982534152964,449.3941773512319,-2194.7092899865465,1670.339269546311,W00820
1172469,1172617,-2194.7092899865465,1670.339269546311,-1881.6873246556,2146.116013168249,W00820
1240394,1240573,-1881.6873246556,2146.116013168249,-2417.454784827981,1540.3188585612754,W00820
1241463,1242125,-2417.454784827981,1540.3188585612754,-1687.835498630181,3322.088291974309,W00820
1248691,1250304,-1687.835498630181,3322.088291974309,-1687.835498630181,3322.088291974309,W00820
1517091,1517376,-1687.835498630181,3322.088291974309,-2259.8608310676686,2967.983045961312,W00820
1521758,1521973,-2259.8608310676686,2967.983045961312,-2906.611169067512,3041.230845985579,W00820
1627023,1627995,-2906.611169067512,3041.230845985579,-2906.611169067512,3041.230845985579,W00820
1671761,1672247,-2906.611169067512,3041.230845985579,-2417.454784827981,1540.3188585612754,W00820
2415204,2416099,753.4845816557994,2085.781199166297,1731.1908863231297,-162.91512968887474,W00820
2469954,2471951,1731.1908863231297,-162.91512968887474,1731.1908863231297,-162.91512968887474,W00820
2476273,2477535,1731.1908863231297,-162.91512968887474,2852.802390106196,-995.5244310270688,W00820
2482239,2483308,2852.802390106196,-995.5244310270688,1731.1908863231297,-162.91512968887474,W00820
2549489,2550578,1731.1908863231297,-162.91512968887474,2438.154417210546,-645.8719388147609,W00820
2559221,2559595,2438.154417210546,-645.8719388147609,1835.1127926085967,-1359.8153513599148,W00820
