station_id,station_name,lat,lon
31277,17th & G St NW,38.89829132460588,-77.039732168499
31278,18th & R St NW,38.912648,-77.041834
31279,19th & G St NW,38.898412,-77.043182
31280,11th & S St NW,38.913761,-77.027025
31281,8th & O St NW,38.90864,-77.02277
31282,16th & R St NW,38.912652,-77.036278
31283,14th & L St NW,38.903658,-77.031737
31284,18th & C St NW,38.893511,-77.041544
31285,22nd & P ST NW,38.909394,-77.048728
31286,11th & O St NW,38.90843,-77.02714
31287,10th St & L'Enfant Plaza SW,38.88432286207331,-77.02601007783889
31288,4th St & Madison Dr NW,38.8904945,-77.01724999999999
31289,Henry Bacon Dr & Lincoln Memorial Circle NW,38.8905415,-77.04938100000001
31290,17th St & Independence Ave SW,38.888097,-77.038325
31291,Vermont Ave & I St NW,38.90113622586853,-77.03445103372383
31292,22nd St & Constitution Ave NW,38.892441,-77.048947
31293,31st & Water St NW,38.90282,-77.060608
31294,7th & E St SW,38.88345,-77.021741
31295,Potomac & M St NW,38.905368,-77.065149
31296,Columbia & Ontario Rd NW,38.924088,-77.040787
31297,Virginia Ave & 25th St NW,38.8995,-77.054155
31298,15th & M St NW,38.905424,-77.034674
31299,Connecticut Ave & R St NW,38.912644,-77.04564
31312,Wisconsin Ave & O St NW,38.90849,-77.063586
31321,15th St & Constitution Ave NW,38.892244,-77.033234
31323,Woodley Park Metro / Calvert St & Connecticut Ave NW,38.923389,-77.051833
31324,18th & New Hampshire Ave NW,38.911268,-77.041829
31500,4th & W St NE,38.919077,-77.000648
31503,Florida Ave & R St NW,38.9126,-77.0135
31505,Eckington Pl & Q St NE,38.910972,-77.00495
31506,1st & Rhode Island Ave NW,38.915417,-77.012289
31508,Gallaudet / 8th St & Florida Ave NE,38.90509,-76.9941
31509,New Jersey Ave & R St NW,38.912659,-77.017669
31510,18th St & Rhode Island Ave NE,38.927095,-76.978924
31512,Neal St & Trinidad Ave NE,38.903732,-76.987211
31513,Rhode Island Ave & V St NE,38.918155,-77.004746
31514,Hamlin & 7th St NE,38.927497,-76.997194
31516,Rhode Island Ave Metro,38.920682,-76.995876
31517,Union Market,38.907908,-76.99707
31518,New York Ave & Hecht Ave NE,38.915604,-76.983683
31519,1st & O St NW,38.908643,-77.012365
31520,24th & R St NE / National Arboretum,38.91263,-76.971923
31522,2nd St & Seaton Pl NE,38.91475105441558,-77.00356003311157
31523,Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,38.915,-77.0078
31524,Montello Ave & Holbrook Terr NE,38.907444,-76.986813
31525,Trinidad Rec Center,38.906299,-76.983221
31526,Rhode Island & Montana Ave NE,38.9243,-76.9859
31527,North Capitol & R St NE,38.912524,-77.008798
31529,Edgewood Rec Center,38.924144,-77.002098
31600,5th & K St NW,38.90304,-77.019027
31601,19th & East Capitol St SE,38.8896,-76.9769
31603,1st & M St NE,38.9056985,-77.00554149999999
31604,3rd & H St NW,38.899408,-77.015289
