station_id,x,y
31000,-2630.982028394743,-4323.512621788438
31001,-2638.813335202063,-4515.092354069943
31002,-2284.558322943482,-4606.930401212525
31003,-2308.148771781586,-4140.72707826278
31004,-3173.4950908272604,-4446.519945536637
31005,-3212.045241846323,-3952.598230176928
31006,-3508.5573294621877,-3818.570340770956
31007,-2473.7071065966,-4476.689433362749
31009,-2482.4578130600216,-5492.917088738203
31010,-2368.6765693374196,-6145.913433634542
31011,-2330.4996228661403,-4975.451437656579
31012,-2482.9389959136106,-5245.566615100968
31013,-2646.8223324131995,-4834.493105377716
31014,-4169.189148603291,-55.102828285707005
31015,-4282.93758484372,-357.3334925191697
31016,-4636.804123772981,-486.6859904333901
31017,-5348.258169372739,-680.6034184607712
31018,-4895.550496594409,-628.5061989909647
31019,-6005.178050395521,-958.6778933246632
31020,-5720.860343980842,-824.8726416089622
31021,-6083.115377944911,-1080.9059851580969
31022,-6255.215123105512,-1154.9330170971298
31023,-6487.404007703691,-1336.828009862491
31024,-6955.684337452492,-1672.2316899124346
31025,-7361.294805824601,-1540.6528150970785
31026,-6118.350248799631,-1455.6052175002717
31027,-4818.6860087709765,-293.43647547682417
31028,-5474.952402762795,-509.0610782831597
31029,-5512.843673967893,-98.73981553388728
31030,-5729.821132691905,-209.27942864031345
31031,-5032.064838614522,-809.2880033057584
31032,-5885.181114058505,-1892.420365364991
31033,-6770.147537564179,-5284.663024410554
31034,-7494.451105082283,-1689.931386270452
31035,-7353.4557712942715,-2384.1157038243546
31036,-8476.710496197149,-2108.3789247063387
31037,-7702.658475204281,-1866.3717556292968
31038,-8139.9694169130735,-1546.1074385028046
31039,-7363.579416077806,-1981.252803691672
31040,-6776.415356977439,-1468.7408412128593
31041,-1516.5299053546212,-10540.336159701374
31042,-1776.5905868826148,-10362.8939207367
31043,-1887.9539198214297,-9692.309198327086
31044,-2341.8162033371987,-10296.213932568726
31045,-2605.9612513646734,-10259.367394867113
31046,-2375.7837047349717,-9612.827542982326
31047,-2595.2219202602832,-9265.401427670364
31048,-3273.215818796542,-10246.574147019923
31049,-7887.675288765098,-1574.159787448572
31050,-5623.172082991364,-1430.3358396809242
31051,-4715.347145159489,-940.0876462063496
31052,-2397.8603134861874,-5988.397267929024
31053,-4978.330558289031,-3782.280397293834
31054,-6653.283308263348,-5047.64170865265
31055,-4021.79420879787,-5742.716576966848
31056,-4526.921780003816,-5547.352003953887
31057,-5465.394141819404,-5945.539512595608
31058,-6325.1950523300475,-4121.134961539431
31059,-6288.612723581445,-5616.035731331934
31060,-5779.5648782604185,-6177.08271024016
31061,-5377.445726423125,-5494.2529148790445
31062,-3835.4008240059984,-139.92778819224205
31063,-7119.586938167765,-5071.90921686696
31064,-1442.0390538905754,-3649.1430586481574
31065,-5466.51086396456,-1904.1088440919984
31066,-4284.628365131945,-3400.5680777156126
31067,-5522.586174710388,-3933.117432297528
31068,-7683.373491055542,-4618.730198785064
31069,-7368.509772695037,-2892.954144417242
31070,-5750.385268965106,-2677.774816990659
31071,-2721.9020553570567,-3902.5047499171947
31072,-6177.923519382058,-6685.1419189182825
31073,-5132.67341658938,-2737.4417179225875
31074,-6301.934568920051,-3160.5646478486437
31075,-4615.327366054648,-3488.6212841275287
31076,-5633.693925017277,-6403.839197549009
31077,-4196.091527884038,-878.3056872196086
31078,-7073.752685091698,-3157.8929955685467
31079,-5962.396216007198,-319.3737663661961
31080,-5023.2373402162775,-22.041131313966417
31081,-3293.978298374221,-10400.742328044142
31082,-3995.0677369671484,-10764.420994729333
31083,-2134.461945833657,-8466.911352331315
31084,-3527.744172105371,-10590.095683425303
31085,-3012.1547041318827,-8654.594925037416
31086,-3091.94864792549,-7999.3722032415235
31087,-2620.070575480832,-8557.970167559133
31088,-3202.7380341805597,-7206.00279477319
31089,-5365.713663128789,-801.2730464646756
31090,-2353.5626637230785,-3590.81198385707
31091,-3501.4696041361335,-4292.009388647019
31092,-7077.5192703903,-150.7257161589535
31093,-4803.655511274901,130.68832405506004
31094,-6433.6847403725815,-270.83874993678285
31095,-3921.3336791378906,-3969.6163649440628
31096,-5632.583312024215,-3527.694198729489
31097,-1840.119436452173,-9472.343160565591
31098,-3202.977652444904,-10104.41156259695
31099,-2305.7065461727652,-9386.961606433773
31100,-1735.284656080833,277.18392410359587
31101,-799.8820989751116,2230.607016540563
31102,-428.92484891046036,3523.6867203093425
31103,-1135.4390937110154,3149.8780387266734
31104,-1707.3762434280573,2795.7727927136757
31105,-808.1470002565214,3227.1333171718775
31106,-2145.3251794658845,2826.719431629812
31107,-1379.7769751705168,3794.859426781138
31108,435.06300640745945,-2350.1077966699477
31109,58.03875561149759,1969.2303684296523
31110,-1882.362757780742,1958.0984839271375
31111,-262.4706326389354,2158.472404966072
31112,-1774.6185104616818,3346.4671190349422
31113,-1802.6007941396542,2544.637478344983
31114,-1619.9365259724264,2337.5844266058048
31115,-80.1058961165534,3374.191707505921
31116,-1537.569412718039,2220.9222770228375
31117,-1068.0274477637759,2840.856924947436
31118,597.7036244864972,2205.448957565165
31119,-781.0670346867206,2589.721610578743
31120,-242.71491869602204,2513.245564049094
31121,-2353.98720139412,2869.0205927379434
31122,-1158.9332723089415,3460.1236598020096
31123,-823.3139626658171,3058.373948119104
31124,-810.2158349534978,3422.163933649827
31125,-1005.3013800123251,2364.690565368115
31126,-367.43705097227814,3097.5581815665946
31127,-2250.9703201658835,124.14651452321115
31128,-2373.1758978806724,834.1121057461444
31129,-910.6317190044888,-149.73790131117772
31130,60.22239463894543,1824.9788855982576
31131,-850.2844639197657,4073.713133559794
31200,-1865.1073615998866,1368.1086053136396
31201,-1001.6416887046757,1337.5515823548856
31203,-816.9135259411414,1201.1303377814577
31204,-1917.270644437982,-168.09145598274966
31205,-2042.7259812106386,322.91512354232174
