station_id,x,y
31064,-1993.883130108986,3476.932805400522
31090,-2905.2249660668067,3418.601730609433
31100,-2287.4982534152964,-449.39417735123186
31101,-1352.1577779900822,-2402.817269788199
31103,-1687.835498630181,-3322.088291974309
31104,-2259.8608310676686,-2967.9830459613113
31105,-1360.4749960004647,-3399.343570419514
31106,-2697.9009796177506,-2998.9296848774475
31108,-117.13754112524298,2177.8975434223116
31109,-494.09811991138764,-2141.440621677288
31110,-2434.7823223503287,-2130.308737174774
31111,-814.6575640637428,-2330.6826582137082
31113,-2355.0756497494986,-2716.8477315926184
31114,-2172.3567665832593,-2509.7946798534413
31116,-2089.9643256671793,-2393.132530270474
31117,-1620.3880588270645,-3013.067178195072
31118,45.65467389201976,-2377.6592108128007
31119,-1333.3573997784088,-2761.931863826379
31120,-794.9041712895468,-2685.45581729673
31121,-2906.6111690675116,-3041.230845985579
31123,-1375.6365913319034,-3230.5842013667398
31125,-1557.6190541540952,-2536.900818615751
31126,-919.6624414465117,-3269.7684348142307
31127,-2803.182402743171,-296.3567677708471
31128,-2925.498184966575,-1006.3223589937803
31129,-1462.7883025379629,-22.472351936458256
31130,-491.914710978856,-1997.1891388458935
31200,-2417.454784827981,-1540.3188585612754
31201,-1553.8936335864703,-1509.7618356025214
31203,-1369.1387647616386,-1373.3405910290937
31204,-2469.4373973937936,-4.1187972648863145
31205,-2594.957575458331,-495.12537678995767
31206,-2348.1446347410515,118.3319322580282
31207,-494.09811991138764,-3187.837764878856
31208,1108.6991008528505,2222.2581031636773
31209,935.4237256342964,2444.89579320685
31211,-3385.1977554195914,-114.65841037131248
31212,-2646.698106240912,-1031.0908020110053
31213,-1917.5553273249886,-723.2385361039151
31214,-1923.6199654583029,-1762.9565486044485
31215,-3698.0031265308317,-668.4251368154823
31216,-1315.9432245686708,-375.0331888763961
31217,-1017.5523537364987,1111.6330440280399
31218,-497.6502651030011,1112.8544936800606
31219,-824.4476227646819,360.11646364479833
31220,-2606.9314076291175,149.61252770917662
31221,-2190.3714482407813,-980.0441292680304
31222,-1460.4567918220644,-308.2610377861307
31223,-500.16275804470195,-1054.6347377329218
31224,-2248.688768655308,-832.4674209813991
31225,-4002.0580911947395,-833.4441926753292
31227,-1154.4505748659533,-447.50175698589925
31228,-570.8591111335667,-382.6028703385173
31229,-1881.6873246555997,-2146.116013168249
31230,-985.2471709658158,-233.88089338963675
31231,-1309.9652241239778,194.6966599429369
31232,-493.3049536406412,-113.54792354855925
31233,-1890.8709195411147,-645.4266634342174
31234,-2450.3771061199495,-1407.2928387603392
31235,-2348.1446347410515,441.15658282066823
31237,-3204.558176754409,-842.0157437416958
31238,-1367.232735634131,-238.89024141561012
31239,-2019.097921527496,-1083.449620274128
31240,-2605.458566939792,1351.7447350956706
31241,-1386.4663022827554,-1072.7797094714829
31242,-2169.584360579388,-380.37649343738155
31243,-104.30096126102603,1101.0580053229169
31244,-82.13591533098672,1351.7447350956706
31245,-490.19942396898244,-1831.862913672767
31246,-3499.2995900004858,-986.6189234248991
31247,-1380.2283887746605,858.2682951157151
31248,-1051.7849150501052,834.0564463237743
31249,-1812.1172615052692,1830.5270875335095
31250,-2451.156845307692,-814.965264401756
31251,-1031.2517830869353,-841.1251929813999
31252,-2604.9387408142197,-587.31822633261
31253,-2328.217966590844,-661.3452582716426
31254,-1475.7031205198919,-638.6362138876518
31255,-3034.3151206031275,-1150.702900985921
